model|shuffle|time|usedCC|genCC|lmax|algorithm|solver|difficulty|result
./cnf/bench/model_16.cnf|./cnf/bench/prod-16-0.prod|0.08286738395690918|8|65|4|pqx|Glucose3|0|[(1860, [1016]), (1859, [1015]), (1858, [1014]), (1857, [1013]), (1856, [1012]), (1855, [1011]), (1854, [1010]), (1853, [1009]), (1852, [1008]), (1851, [1007]), (1850, [1006]), (1849, [1005]), (1848, [1004]), (1847, [1003]), (1846, [1002]), (1845, [1001])]
./cnf/bench/model_16.cnf|./cnf/bench/prod-16-0.prod|0.21623539924621582|34|34|4|qx|Glucose3|50|[(1860, [1016]), (1859, [1015]), (1858, [1014]), (1857, [1013]), (1856, [1012]), (1855, [1011]), (1854, [1010]), (1853, [1009]), (1852, [1008]), (1851, [1007]), (1850, [1006]), (1849, [1005]), (1848, [1004]), (1847, [1003]), (1846, [1002]), (1845, [1001])]
./cnf/bench/model_16.cnf|./cnf/bench/prod-16-0.prod|0.18941855430603027|13|65|4|pqx|Glucose3|50|[(1860, [1016]), (1859, [1015]), (1858, [1014]), (1857, [1013]), (1856, [1012]), (1855, [1011]), (1854, [1010]), (1853, [1009]), (1852, [1008]), (1851, [1007]), (1850, [1006]), (1849, [1005]), (1848, [1004]), (1847, [1003]), (1846, [1002]), (1845, [1001])]
./cnf/bench/model_16.cnf|./cnf/bench/prod-16-0.prod|0.3597710132598877|34|34|4|qx|Glucose3|100|[(1860, [1016]), (1859, [1015]), (1858, [1014]), (1857, [1013]), (1856, [1012]), (1855, [1011]), (1854, [1010]), (1853, [1009]), (1852, [1008]), (1851, [1007]), (1850, [1006]), (1849, [1005]), (1848, [1004]), (1847, [1003]), (1846, [1002]), (1845, [1001])]
./cnf/bench/model_16.cnf|./cnf/bench/prod-16-0.prod|0.30123329162597656|17|65|4|pqx|Glucose3|100|[(1860, [1016]), (1859, [1015]), (1858, [1014]), (1857, [1013]), (1856, [1012]), (1855, [1011]), (1854, [1010]), (1853, [1009]), (1852, [1008]), (1851, [1007]), (1850, [1006]), (1849, [1005]), (1848, [1004]), (1847, [1003]), (1846, [1002]), (1845, [1001])]
./cnf/bench/model_16.cnf|./cnf/bench/prod-16-0.prod|0.05903339385986328|34|34|3|qx|Glucose3|0|[(1860, [1016]), (1859, [1015]), (1858, [1014]), (1857, [1013]), (1856, [1012]), (1855, [1011]), (1854, [1010]), (1853, [1009]), (1852, [1008]), (1851, [1007]), (1850, [1006]), (1849, [1005]), (1848, [1004]), (1847, [1003]), (1846, [1002]), (1845, [1001])]
./cnf/bench/model_16.cnf|./cnf/bench/prod-16-0.prod|0.08842754364013672|5|48|3|pqx|Glucose3|0|[(1860, [1016]), (1859, [1015]), (1858, [1014]), (1857, [1013]), (1856, [1012]), (1855, [1011]), (1854, [1010]), (1853, [1009]), (1852, [1008]), (1851, [1007]), (1850, [1006]), (1849, [1005]), (1848, [1004]), (1847, [1003]), (1846, [1002]), (1845, [1001])]
./cnf/bench/model_16.cnf|./cnf/bench/prod-16-0.prod|0.21207594871520996|34|34|3|qx|Glucose3|50|[(1860, [1016]), (1859, [1015]), (1858, [1014]), (1857, [1013]), (1856, [1012]), (1855, [1011]), (1854, [1010]), (1853, [1009]), (1852, [1008]), (1851, [1007]), (1850, [1006]), (1849, [1005]), (1848, [1004]), (1847, [1003]), (1846, [1002]), (1845, [1001])]
./cnf/bench/model_16.cnf|./cnf/bench/prod-16-0.prod|0.2256181240081787|11|48|3|pqx|Glucose3|50|[(1860, [1016]), (1859, [1015]), (1858, [1014]), (1857, [1013]), (1856, [1012]), (1855, [1011]), (1854, [1010]), (1853, [1009]), (1852, [1008]), (1851, [1007]), (1850, [1006]), (1849, [1005]), (1848, [1004]), (1847, [1003]), (1846, [1002]), (1845, [1001])]
./cnf/bench/model_16.cnf|./cnf/bench/prod-16-0.prod|0.3545067310333252|34|34|3|qx|Glucose3|100|[(1860, [1016]), (1859, [1015]), (1858, [1014]), (1857, [1013]), (1856, [1012]), (1855, [1011]), (1854, [1010]), (1853, [1009]), (1852, [1008]), (1851, [1007]), (1850, [1006]), (1849, [1005]), (1848, [1004]), (1847, [1003]), (1846, [1002]), (1845, [1001])]
